slot,t,kind,reason,ref,attempt,seq,n_elig_ev,n_elig_st,lost,delay_ms,ack_type,ack_lost
349,3490,NONE,IDLE,0,0,0,0,0,0,0,,0
350,3500,NONE,IDLE,0,0,0,0,0,0,0,,0
351,3510,NONE,IDLE,0,0,0,0,0,0,0,,0
352,3520,NONE,IDLE,0,0,0,0,0,0,0,,0
353,3530,NONE,IDLE,0,0,0,0,0,0,0,,0
354,3540,NONE,IDLE,0,0,0,0,0,0,0,,0
355,3550,NONE,IDLE,0,0,0,0,0,0,0,,0
356,3560,NONE,IDLE,0,0,0,0,0,0,0,,0
357,3570,NONE,IDLE,0,0,0,0,0,0,0,,0
358,3580,NONE,IDLE,0,0,0,0,0,0,0,,0
359,3590,NONE,IDLE,0,0,0,0,0,0,0,,0
360,3600,NONE,IDLE,0,0,0,0,0,0,0,,0
361,3610,NONE,IDLE,0,0,0,0,0,0,0,,0
362,3620,NONE,IDLE,0,0,0,0,0,0,0,,0
363,3630,NONE,IDLE,0,0,0,0,0,0,0,,0
364,3640,NONE,IDLE,0,0,0,0,0,0,0,,0
365,3650,NONE,IDLE,0,0,0,0,0,0,0,,0
366,3660,NONE,IDLE,0,0,0,0,0,0,0,,0
367,3670,NONE,IDLE,0,0,0,0,0,0,0,,0
368,3680,NONE,IDLE,0,0,0,0,0,0,0,,0
369,3690,NONE,IDLE,0,0,0,0,0,0,0,,0
370,3700,NONE,IDLE,0,0,0,0,0,0,0,,0
371,3710,NONE,IDLE,0,0,0,0,0,0,0,,0
372,3720,NONE,IDLE,0,0,0,0,0,0,0,,0
373,3730,NONE,IDLE,0,0,0,0,0,0,0,,0
374,3740,NONE,IDLE,0,0,0,0,0,0,0,,0
375,3750,NONE,IDLE,0,0,0,0,0,0,0,,0
376,3760,NONE,IDLE,0,0,0,0,0,0,0,,0
377,3770,NONE,IDLE,0,0,0,0,0,0,0,,0
378,3780,NONE,IDLE,0,0,0,0,0,0,0,,0
379,3790,NONE,IDLE,0,0,0,0,0,0,0,,0
380,3800,NONE,IDLE,0,0,0,0,0,0,0,,0
381,3810,NONE,IDLE,0,0,0,0,0,0,0,,0
382,3820,NONE,IDLE,0,0,0,0,0,0,0,,0
383,3830,NONE,IDLE,0,0,0,0,0,0,0,,0
384,3840,NONE,IDLE,0,0,0,0,0,0,0,,0
385,3850,NONE,IDLE,0,0,0,0,0,0,0,,0
386,3860,NONE,IDLE,0,0,0,0,0,0,0,,0
387,3870,NONE,IDLE,0,0,0,0,0,0,0,,0
388,3880,NONE,IDLE,0,0,0,0,0,0,0,,0
389,3890,NONE,IDLE,0,0,0,0,0,0,0,,0
390,3900,NONE,IDLE,0,0,0,0,0,0,0,,0
391,3910,NONE,IDLE,0,0,0,0,0,0,0,,0
392,3920,NONE,IDLE,0,0,0,0,0,0,0,,0
393,3930,NONE,IDLE,0,0,0,0,0,0,0,,0
394,3940,NONE,IDLE,0,0,0,0,0,0,0,,0
395,3950,NONE,IDLE,0,0,0,0,0,0,0,,0
396,3960,NONE,IDLE,0,0,0,0,0,0,0,,0
397,3970,NONE,IDLE,0,0,0,0,0,0,0,,0
398,3980,NONE,IDLE,0,0,0,0,0,0,0,,0
399,3990,NONE,IDLE,0,0,0,0,0,0,0,,0
400,4000,NONE,IDLE,0,0,0,0,0,0,0,,0
401,4010,NONE,IDLE,0,0,0,0,0,0,0,,0
402,4020,NONE,IDLE,0,0,0,0,0,0,0,,0
403,4030,NONE,IDLE,0,0,0,0,0,0,0,,0
404,4040,NONE,IDLE,0,0,0,0,0,0,0,,0
405,4050,NONE,IDLE,0,0,0,0,0,0,0,,0
406,4060,NONE,IDLE,0,0,0,0,0,0,0,,0
407,4070,NONE,IDLE,0,0,0,0,0,0,0,,0
408,4080,NONE,IDLE,0,0,0,0,0,0,0,,0
409,4090,NONE,IDLE,0,0,0,0,0,0,0,,0
410,4100,NONE,IDLE,0,0,0,0,0,0,0,,0
411,4110,NONE,IDLE,0,0,0,0,0,0,0,,0
412,4120,NONE,IDLE,0,0,0,0,0,0,0,,0
413,4130,NONE,IDLE,0,0,0,0,0,0,0,,0
414,4140,NONE,IDLE,0,0,0,0,0,0,0,,0
415,4150,NONE,IDLE,0,0,0,0,0,0,0,,0
416,4160,NONE,IDLE,0,0,0,0,0,0,0,,0
417,4170,NONE,IDLE,0,0,0,0,0,0,0,,0
418,4180,NONE,IDLE,0,0,0,0,0,0,0,,0
419,4190,NONE,IDLE,0,0,0,0,0,0,0,,0
420,4200,NONE,IDLE,0,0,0,0,0,0,0,,0
421,4210,NONE,IDLE,0,0,0,0,0,0,0,,0
422,4220,NONE,IDLE,0,0,0,0,0,0,0,,0
423,4230,NONE,IDLE,0,0,0,0,0,0,0,,0
424,4240,NONE,IDLE,0,0,0,0,0,0,0,,0
425,4250,NONE,IDLE,0,0,0,0,0,0,0,,0
426,4260,NONE,IDLE,0,0,0,0,0,0,0,,0
427,4270,NONE,IDLE,0,0,0,0,0,0,0,,0
428,4280,NONE,IDLE,0,0,0,0,0,0,0,,0
429,4290,NONE,IDLE,0,0,0,0,0,0,0,,0
430,4300,NONE,IDLE,0,0,0,0,0,0,0,,0
431,4310,NONE,IDLE,0,0,0,0,0,0,0,,0
432,4320,NONE,IDLE,0,0,0,0,0,0,0,,0
433,4330,NONE,IDLE,0,0,0,0,0,0,0,,0
434,4340,NONE,IDLE,0,0,0,0,0,0,0,,0
435,4350,NONE,IDLE,0,0,0,0,0,0,0,,0
436,4360,NONE,IDLE,0,0,0,0,0,0,0,,0
437,4370,NONE,IDLE,0,0,0,0,0,0,0,,0
438,4380,NONE,IDLE,0,0,0,0,0,0,0,,0
439,4390,NONE,IDLE,0,0,0,0,0,0,0,,0
440,4400,NONE,IDLE,0,0,0,0,0,0,0,,0
441,4410,NONE,IDLE,0,0,0,0,0,0,0,,0
442,4420,NONE,IDLE,0,0,0,0,0,0,0,,0
443,4430,NONE,IDLE,0,0,0,0,0,0,0,,0
444,4440,NONE,IDLE,0,0,0,0,0,0,0,,0
