t,dir,outcome,err,stream,seq,id,gen_time,on_time
4060,ACK,ACK_STATE,OK,1,41,0,0,0
4070,ACK,ACK_STATE,OK,2,41,0,0,0
4080,DATA,STATE_APPLIED,OK,4,41,0,4057,0
4090,DATA,STATE_APPLIED,OK,5,41,0,4059,0
4100,ACK,ACK_STATE,OK,4,41,0,0,0
4110,ACK,ACK_STATE,OK,5,41,0,0,0
4130,DATA,STATE_APPLIED,OK,0,42,0,4102,0
4140,DATA,STATE_APPLIED,OK,1,42,0,4105,0
4150,DATA,STATE_APPLIED,OK,2,42,0,4120,0
4150,ACK,ACK_STATE,OK,0,42,0,0,0
4160,ACK,ACK_STATE,OK,1,42,0,0,0
4170,ACK,ACK_STATE,OK,2,42,0,0,0
4180,DATA,STATE_APPLIED,OK,4,42,0,4152,0
4190,DATA,STATE_APPLIED,OK,5,42,0,4155,0
4200,ACK,ACK_STATE,OK,4,42,0,0,0
4210,ACK,ACK_STATE,OK,5,42,0,0,0
4240,DATA,STATE_APPLIED,OK,6,42,0,4180,0
4250,DATA,STATE_APPLIED,OK,1,43,0,4207,0
4260,DATA,STATE_APPLIED,OK,3,43,0,4237,0
4260,ACK,ACK_STATE,OK,6,42,0,0,0
4270,DATA,STATE_APPLIED,OK,2,43,0,4224,0
4270,ACK,ACK_STATE,OK,1,43,0,0,0
4280,DATA,STATE_APPLIED,OK,4,43,0,4249,0
4280,ACK,ACK_STATE,OK,3,43,0,0,0
4290,DATA,STATE_APPLIED,OK,5,43,0,4259,0
4290,ACK,ACK_STATE,OK,2,43,0,0,0
4300,DATA,STATE_APPLIED,OK,6,43,0,4277,0
4300,ACK,ACK_STATE,OK,4,43,0,0,0
4310,ACK,ACK_STATE,OK,5,43,0,0,0
4320,ACK,ACK_STATE,OK,6,43,0,0,0
4340,DATA,STATE_APPLIED,OK,1,44,0,4315,0
4350,DATA,STATE_APPLIED,OK,2,44,0,4325,0
4360,ACK,ACK_STATE,OK,1,44,0,0,0
4370,DATA,STATE_APPLIED,OK,3,44,0,4342,0
4370,ACK,ACK_STATE,OK,2,44,0,0,0
4380,DATA,STATE_APPLIED,OK,4,44,0,4357,0
4390,DATA,STATE_APPLIED,OK,5,44,0,4362,0
4390,ACK,ACK_STATE,OK,3,44,0,0,0
4400,DATA,STATE_APPLIED,OK,7,44,0,4378,0
4410,DATA,STATE_APPLIED,OK,6,44,0,4376,0
4410,ACK,ACK_STATE,OK,5,44,0,0,0
4420,ACK,ACK_STATE,OK,7,44,0,0,0
4430,ACK,ACK_STATE,OK,6,44,0,0,0
4440,DATA,STATE_APPLIED,OK,1,45,0,4416,0
4460,ACK,ACK_STATE,OK,1,45,0,0,0
4470,DATA,STATE_APPLIED,OK,3,45,0,4443,0
4480,DATA,STATE_APPLIED,OK,5,45,0,4456,0
4490,ACK,ACK_STATE,OK,3,45,0,0,0
4500,DATA,STATE_APPLIED,OK,6,45,0,4478,0
4500,ACK,ACK_STATE,OK,5,45,0,0,0
4520,ACK,ACK_STATE,OK,6,45,0,0,0
4530,DATA,STATE_APPLIED,OK,0,46,0,4492,0
4540,DATA,STATE_APPLIED,OK,1,46,0,4510,0
4550,ACK,ACK_STATE,OK,0,46,0,0,0
4560,ACK,ACK_STATE,OK,1,46,0,0,0
4570,DATA,STATE_APPLIED,OK,3,46,0,4546,0
4590,DATA,STATE_APPLIED,OK,6,46,0,4567,0
4590,ACK,ACK_STATE,OK,3,46,0,0,0
4600,DATA,STATE_APPLIED,OK,5,46,0,4571,0
4610,ACK,ACK_STATE,OK,6,46,0,0,0
4620,ACK,ACK_STATE,OK,5,46,0,0,0
4640,DATA,STATE_APPLIED,OK,1,47,0,4613,0
4660,ACK,ACK_STATE,OK,1,47,0,0,0
4680,DATA,STATE_APPLIED,OK,4,47,0,4644,0
4690,DATA,STATE_APPLIED,OK,6,47,0,4665,0
4700,DATA,STATE_APPLIED,OK,5,47,0,4654,0
4700,ACK,ACK_STATE,OK,4,47,0,0,0
4710,ACK,ACK_STATE,OK,6,47,0,0,0
4720,ACK,ACK_STATE,OK,5,47,0,0,0
4750,DATA,STATE_APPLIED,OK,2,47,0,4621,0
4770,ACK,ACK_STATE,OK,2,47,0,0,0
4780,DATA,STATE_APPLIED,OK,4,48,0,4754,0
4800,ACK,ACK_STATE,OK,4,48,0,0,0
4810,DATA,STATE_APPLIED,OK,6,48,0,4771,0
4820,DATA,STATE_APPLIED,OK,7,48,0,4778,0
4830,ACK,ACK_STATE,OK,6,48,0,0,0
4840,ACK,ACK_STATE,OK,7,48,0,0,0
4860,DATA,STATE_APPLIED,OK,4,49,0,4840,0
4880,ACK,ACK_STATE,OK,4,49,0,0,0
4890,DATA,STATE_APPLIED,OK,6,49,0,4870,0
4910,DATA,STATE_APPLIED,OK,7,49,0,4883,0
4910,ACK,ACK_STATE,OK,6,49,0,0,0
4930,DATA,STATE_APPLIED,OK,0,50,0,4904,0
4930,ACK,ACK_STATE,OK,7,49,0,0,0
4950,ACK,ACK_STATE,OK,0,50,0,0,0
4980,DATA,STATE_APPLIED,OK,4,50,0,4955,0
5000,DATA,STATE_APPLIED,OK,6,50,0,4972,0
5000,ACK,ACK_STATE,OK,4,50,0,0,0
5010,DATA,STATE_APPLIED,OK,7,50,0,4978,0
6220,DATA,STATE_APPLIED,OK,0,62,0,6091,0
6230,DATA,STATE_APPLIED,OK,1,63,0,6205,0
6240,DATA,EVENT_DELIVERED,OK,0,0,3,6210,1
6240,ACK,ACK_STATE,OK,0,62,0,0,0
6250,ACK,ACK_STATE,OK,1,63,0,0,0
6260,DATA,STATE_APPLIED,OK,0,63,0,6203,0
6260,ACK,ACK_EVENT,OK,0,0,3,0,0
6270,DATA,STATE_APPLIED,OK,4,63,0,6244,0
6280,ACK,ACK_STATE,OK,0,63,0,0,0
6290,DATA,STATE_APPLIED,OK,2,63,0,6232,0
6290,ACK,ACK_STATE,OK,4,63,0,0,0
6310,ACK,ACK_STATE,OK,2,63,0,0,0
6320,DATA,STATE_APPLIED,OK,0,64,0,6295,0
6330,DATA,STATE_APPLIED,OK,1,64,0,6302,0
6340,ACK,ACK_STATE,OK,0,64,0,0,0
6350,DATA,STATE_APPLIED,OK,2,64,0,6321,0
6350,ACK,ACK_STATE,OK,1,64,0,0,0
6370,ACK,ACK_STATE,OK,2,64,0,0,0
6380,DATA,STATE_APPLIED,OK,4,64,0,6356,0
6400,ACK,ACK_STATE,OK,4,64,0,0,0
6420,DATA,STATE_APPLIED,OK,0,65,0,6398,0
6440,ACK,ACK_STATE,OK,0,65,0,0,0
6450,DATA,STATE_APPLIED,OK,2,65,0,6419,0
6470,DATA,STATE_APPLIED,OK,3,65,0,6435,0
6470,ACK,ACK_STATE,OK,2,65,0,0,0
6480,DATA,STATE_APPLIED,OK,4,65,0,6443,0
6490,ACK,ACK_STATE,OK,3,65,0,0,0
6500,DATA,STATE_APPLIED,OK,6,65,0,6469,0
6500,ACK,ACK_STATE,OK,4,65,0,0,0
6510,DATA,STATE_APPLIED,OK,7,65,0,6478,0
6520,DATA,STATE_APPLIED,OK,0,66,0,6492,0
6520,ACK,ACK_STATE,OK,6,65,0,0,0
6530,ACK,ACK_STATE,OK,7,65,0,0,0
6540,ACK,ACK_STATE,OK,0,66,0,0,0
6550,DATA,STATE_APPLIED,OK,2,66,0,6521,0
6570,DATA,STATE_APPLIED,OK,3,66,0,6542,0
6570,ACK,ACK_STATE,OK,2,66,0,0,0
6580,DATA,STATE_APPLIED,OK,4,66,0,6552,0
6590,ACK,ACK_STATE,OK,3,66,0,0,0
6600,ACK,ACK_STATE,OK,4,66,0,0,0
6610,DATA,STATE_APPLIED,OK,7,66,0,6588,0
6630,ACK,ACK_STATE,OK,7,66,0,0,0
6680,DATA,STATE_APPLIED,OK,4,67,0,6658,0
6700,ACK,ACK_STATE,OK,4,67,0,0,0
6710,DATA,STATE_APPLIED,OK,7,67,0,6687,0
6720,DATA,EVENT_DELIVERED,OK,0,0,4,6700,1
6730,ACK,ACK_STATE,OK,7,67,0,0,0
6740,ACK,ACK_EVENT,OK,0,0,4,0,0
6820,DATA,STATE_APPLIED,OK,7,68,0,6794,0
6840,ACK,ACK_STATE,OK,7,68,0,0,0
6890,DATA,STATE_APPLIED,OK,6,68,0,6768,0
6910,DATA,EVENT_DELIVERED,OK,0,0,5,6878,1
6910,ACK,ACK_STATE,OK,6,68,0,0,0
6920,DATA,STATE_APPLIED,OK,0,69,0,6801,0
6930,DATA,STATE_APPLIED,OK,6,69,0,6878,0
6930,ACK,ACK_EVENT,OK,0,0,5,0,0
6940,DATA,STATE_APPLIED,OK,7,69,0,6888,0
6940,ACK,ACK_STATE,OK,0,69,0,0,0
6950,DATA,STATE_APPLIED,OK,2,70,0,6919,0
6950,ACK,ACK_STATE,OK,6,69,0,0,0
6960,DATA,STATE_APPLIED,OK,3,69,0,6835,0
6960,ACK,ACK_STATE,OK,7,69,0,0,0
